Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
1/19/16 14:34,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,2,Unlmtd,0,Success
1/19/16 14:37,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:44,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:50,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:59,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:00,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:10,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:40,Reg SV Regular,1.60E+14,N/A,3224,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,40.75,Unlmtd,,Success
1/19/16 15:41,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:44,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:47,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 15:50,DCFS EZ (New),1.70E+18,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 16:04,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 16:12,Reg SV Regular,1.60E+14,N/A,3224,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,13.5,Unlmtd,,Success
1/19/16 16:20,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 16:23,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,1.25,Unlmtd,0,Success
