Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-01-19 13:43:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:43:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,37,301014,31,2016-01-19 13:40:12,2016-01-19 13:46:27,3.2,5,4.5
2016-01-19 13:46:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:46:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,37,301014,31,2016-01-19 13:40:12,2016-01-19 13:46:27,3.2,5,4.5
2016-01-19 14:00:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,55,301015,31,2016-01-19 13:56:27,2016-01-19 14:27:57,1.5,27,6.0
2016-01-19 14:00:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,55,301015,31,2016-01-19 13:56:27,2016-01-19 14:00:42,1.5,5,0.7
2016-01-19 14:01:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,55,301015,31,2016-01-19 13:56:27,2016-01-19 14:27:57,1.5,27,6.0
2016-01-19 14:35:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,14,32,301016,31,2016-01-19 14:32:57,2016-01-19 15:12:12,1.0,40,0.2
2016-01-19 14:35:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,14,32,301016,31,2016-01-19 14:32:57,2016-01-19 14:44:27,1.0,11,1.5
2016-01-19 14:45:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,14,32,301016,31,2016-01-19 14:32:57,2016-01-19 15:12:12,1.0,40,0.2
2016-01-19 14:45:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,14,43,301016,31,2016-01-19 14:44:57,2016-01-19 14:52:42,2.0,8,1.7
2016-01-19 15:00:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,14,32,301016,31,2016-01-19 14:32:57,2016-01-19 15:12:12,1.0,40,0.2
2016-01-19 15:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,15,12,301017,31,2016-01-19 15:12:57,2016-01-19 15:41:13,1.0,29,0.2
2016-01-19 15:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,15,12,301017,31,2016-01-19 15:12:57,2016-01-19 15:17:42,1.0,5,0.7
2016-01-19 15:15:00,Reg SV Sr/Dis,1.6e+14,,3295,SV Entry (Tag On),,1,0.35,0,-0.35,-0.35,1.35,Unlmtd,,Success,First Transit,3295,15,12,301017,31,2016-01-19 15:12:57,2016-01-19 15:41:13,1.0,29,0.2
2016-01-19 15:15:00,Reg SV Sr/Dis,1.6e+14,,3295,SV Entry (Tag On),,1,0.35,0,-0.35,-0.35,1.35,Unlmtd,,Success,First Transit,3295,15,12,301017,31,2016-01-19 15:12:57,2016-01-19 15:17:42,1.0,5,0.7
2016-01-19 16:00:00,Reg SV Student,1.6e+14,,3295,SV Entry (Tag On),,1,0.5,0,-0.5,-0.5,47.0,Unlmtd,,Success,First Transit,3295,15,51,301018,31,2016-01-19 15:51:57,2016-01-19 16:31:28,1.0,40,0.5
2016-01-19 16:00:00,Reg SV Student,1.6e+14,,3295,SV Entry (Tag On),,1,0.5,0,-0.5,-0.5,47.0,Unlmtd,,Success,First Transit,3295,15,51,301018,31,2016-01-19 15:51:57,2016-01-19 16:03:12,1.0,12,0.2
